id_veiculo,linha,latitude,longitude,timestamp_gps,velocidade,sentido,vista,placa,direcao,ignicao,hodometro,capacidade_pe,capacidade_sentado,id_migracao_trajeto,timestamp_captura
902313,52,-22.849195,-43.397433,2025-10-28 09:51:27-03:00,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],,104,0,29705.7,0,0,9161,2025-10-28 10:17:03.729613
902103,41,-22.876851,-43.330024,2025-10-28 09:16:41-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,0,135046.8,0,0,3542,2025-10-28 10:17:03.729613
901001,22,-23.001015,-43.365441,2025-10-28 10:16:15-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],RJD7J89,268,1,215556.6,0,0,8970,2025-10-28 10:17:03.729613
901050,35,-22.964497,-43.392075,2025-10-28 09:55:43-03:00,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,342,0,20511.8,0,0,108,2025-10-28 10:17:03.729613
901077,53,-22.964768,-43.392249,2025-10-28 08:47:07-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,349,0,208960.5,0,0,8966,2025-10-28 10:17:03.729613
903045,17,-22.915734,-43.628604,2025-10-28 10:16:37-03:00,0.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],,260,1,13586.9,0,0,10580,2025-10-28 10:17:03.729613
902119,46,-22.973251,-43.383,2025-10-28 10:16:55-03:00,50.3,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],,93,1,138166.3,0,0,144,2025-10-28 10:17:03.729613
901058,22,-23.000954,-43.36497,2025-10-28 10:14:08-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],, ,1,285397.1,0,0,8970,2025-10-28 10:17:03.729613
902105,40,-23.008595,-43.440236,2025-10-28 08:50:23-03:00,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,41,0,132326.299,0,0,8972,2025-10-28 10:17:03.729613
901071,52,-22.964753,-43.392167,2025-10-28 10:06:19-03:00,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],,344,0,278462.0,0,0,9161,2025-10-28 10:17:03.729613
903027,42,-22.856454,-43.328378,2025-10-28 10:16:46-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,250,1,63901.5,0,0,9447,2025-10-28 10:17:03.729613
901066,51,-23.008412,-43.440839,2025-10-28 10:09:57-03:00,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,256,0,18522.2,0,0,3551,2025-10-28 10:17:03.729613
903026,0,-22.876674,-43.329438,2025-10-10 23:44:45-03:00,0.0,,,, ,0,222720.1,0,0,,2025-10-28 10:17:03.729613
903029,42,-22.87775,-43.336296,2025-10-28 10:16:51-03:00,1.1,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],,90,1,217784.4,0,0,9449,2025-10-28 10:17:03.729613
902116,41,-22.973235,-43.384334,2025-10-28 10:16:54-03:00,36.2,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],,96,1,147452.5,0,0,3543,2025-10-28 10:17:03.729613
903028,42,-22.83948,-43.23985,2025-10-28 10:16:56-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,140,1,251800.7,0,0,9447,2025-10-28 10:17:03.729613
901061,22,-23.006359,-43.312976,2025-10-28 10:16:45-03:00,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],,264,1,315355.9,0,0,8971,2025-10-28 10:17:03.729613
903030,42,-22.839767,-43.239551,2025-10-28 10:16:58-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,136,1,0.0,0,0,9447,2025-10-28 10:17:03.729613
903057,0,-22.920566,-43.608453,2025-06-23 08:40:55-03:00,0.0,,,, ,0,0.0,0,0,,2025-10-28 10:17:03.729613
901051,35,-23.001431,-43.36424,2025-10-28 10:16:47-03:00,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,46,1,214468.7,0,0,109,2025-10-28 10:17:03.729613
901064,52,-23.000931,-43.364373,2025-10-28 09:50:06-03:00,16.2,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],,316,1,298805.3,0,0,9162,2025-10-28 10:17:03.729613
902107,41,-23.008666,-43.440662,2025-10-28 10:16:49-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,1,137652.0,0,0,3542,2025-10-28 10:17:03.729613
901049,40,-22.964757,-43.39204,2025-10-28 10:15:22-03:00,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,354,0,165017.7,0,0,8972,2025-10-28 10:17:03.729613
